Unnamed: 0,0,1,2,3,4,5,6,7,8,9
0,158.9323882925163,54.0,47.0,50.0,235.1045707729291,49.0,59.0,38.0,50.0,50.999999999998664
1,47.0,54.0,47.0,50.0,52.00000000170596,49.0,59.0,38.0,49.999999999879655,51.0
2,47.0,54.0,47.0,243.5796653379092,52.0,154.4467377883458,59.0,38.0,50.0,230.92205446309035
3,47.00000181491968,54.0,47.0,50.0,235.1045707729291,49.0,59.0,38.0,50.0,51.0
4,158.9323882925163,54.0,47.0,50.0,235.1045707729291,49.0,211.593080529092,38.0,50.0,51.00001638586822
5,158.9323882925163,54.0,47.00000489259248,62.0,214.2567433511433,270.62812187082307,59.0,38.0,50.0,51.0
6,683.1283542929839,54.0,47.0,94.0,52.0,549.7731878234292,59.0,38.0,50.0,51.0
7,794.6029939505876,333.0655256517847,422.49718177065324,4959.036221964636,4672.883896511371,416.0748596591689,59.0,139.0,555.2237519460557,230.92205446309035
8,120.48902016733085,126.0,324.8424281540999,50.0,399.2679729112672,337.62812187082307,316.08199400195207,109.90531662985615,122.0,60.0
9,230.9323882925163,374.4900601214126,161.09905411500745,58.49410374916814,1505.6992450543978,451.5279487743079,493.92512537868225,4259.751348994649,50.0,1272.5069951986288
10,47.0,54.0,151.0,50.0,212.0,229.69832816426032,477.1777747106789,110.0,49.03856985607056,86.0
11,47.0,54.0,2102.0,50.0,236.0228700063693,2390.903343346038,2558.0,605.0,50.0,2141.0
12,2264.658293360153,54.0,132.09905411500745,50.0,432.1386703394223,49.0,59.0,38.0,2296.890817997779,302.9220544630904
13,393.5906816526696,54.0,62.15938451691816,50.0,236.0228700063693,202.19068460426683,59.0,38.0,247.22375194605567,310.0510728494415
14,2618.0,54.0,2430.3833960652496,50.0,2456.117785027337,49.0,59.0,38.0,1670.0670639729017,123.0
15,165.29899128508333,2285.065525651785,462.8386696689101,50.0,235.1045707729291,123.30665965942066,59.0,830.7452830209995,1110.9065928419209,2745.760842168213
16,2460.590681652669,390.4900601214126,508.8386696689101,62.0,50.57623496884868,241.0,29.43482745027804,210.0,1972.4790889208896,504.38170630557954
17,1622.3524476083837,206.4900601214126,2655.284341950242,50.0,52.0,429.1906846042668,59.0,190.0,3036.4786470536187,437.9041988377607
18,1671.4495592415192,318.4900601214126,1928.9182049766864,243.5796653379092,214.2567433511433,229.25312489627058,59.0,1898.8937516932347,2390.683957992087,283.4596518424892
19,2636.246594793801,1385.236890871387,13659.801766704284,467.0221011028746,52.0,297.6983281642603,59.0,2323.9236724438592,2608.605914749955,230.92205446309035
20,2595.590681652669,357.4900601214126,551.3833960652495,50.0,52.0,49.0,59.0,676.6105662830807,472.00033153629454,2266.459651842489
21,564.9783136715315,393.9891689644054,526.284341950242,122.0,214.2567433511433,49.0,211.593080529092,400.0281866060317,2988.4786470536187,123.0
22,2869.340621018355,126.0,323.2977017577605,332.79753530342765,235.1045707729291,49.0,59.0,222.0,3248.8585382494216,51.0
23,47.0,54.0,46.97269818701981,50.0,52.0,50.53346122903667,59.65721059880114,38.0,50.0,51.0
24,47.0,54.0,131.97845248630705,50.00000000009548,52.0,162.6891119120492,59.0,38.0,50.0,51.00000000009132
25,47.0,54.0,47.0,260.1758679497591,424.1705851927852,284.89389445700306,234.4552124472704,38.0,50.0,221.58954400880458
26,47.0,54.0,47.0,50.0,254.6584925601552,162.6891119120492,58.99999999889785,38.0,50.0,51.0
27,47.0,54.00000170975935,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
28,47.0,54.00012543040227,47.0,50.0,52.0,49.0,151.0,38.0,50.0,51.0
29,47.0,54.0,78.99992509722996,260.1758679497591,52.0,162.6891119120492,249.5658386286133,38.0,50.0,51.0
30,47.0,2109.0,1455.2170082758234,134.0,1229.8363993665175,49.0,2448.8520400656757,511.4792033373275,50.0,221.58954400892875
31,363.0723037326015,126.0,2385.8389429809863,235.91771411164217,64.07582443159728,49.0,496.3072525129456,122.0,186.89761393138576,156.38743518268552
